parser,checkpoint,depth_bin,mean_log_err_bb,mean_log_err_gb,diff
parserb,0.1,shallow,5.671675988586452,5.741324270554534,0.0696482819680817
parserb,0.1,medium,5.986759763812122,5.762167288887152,-0.22459247492496992
parserb,0.1,deep,5.34355732604092,5.291870987325454,-0.05168633871546646
parserb,0.25,shallow,6.0375527929622095,6.113215573464328,0.07566278050211839
parserb,0.25,medium,6.3310834053712455,6.0659041194364445,-0.265179285934801
parserb,0.25,deep,5.45965552933392,5.414799470613152,-0.04485605872076803
parserb,0.5,shallow,6.329355871381185,6.411025853243439,0.08166998186225438
parserb,0.5,medium,6.583777865468312,6.276112102013629,-0.30766576345468266
parserb,0.5,deep,5.54769572822823,5.528129253301392,-0.019566474926837607
parserb,0.75,shallow,6.503402961782501,6.583357354506314,0.07995439272381333
parserb,0.75,medium,6.729895645176109,6.391859182032926,-0.33803646314318314
parserb,0.75,deep,5.601769789462475,5.600115418329631,-0.0016543711328438349
parserb,1.0,shallow,6.615513215294977,6.712820754215782,0.09730753892080468
parserb,1.0,medium,6.834090533705665,6.467617093002966,-0.36647344070269927
parserb,1.0,deep,5.641012208926857,5.654514117437562,0.013501908510704652
