checkpoint,checkpoint_pct,depth_bin,mean_log_err
0.1,10.0,deep,17.82066973867945
0.1,10.0,medium,2.529505683804809
0.1,10.0,shallow,11.057223006687234
0.25,25.0,deep,17.543513506420386
0.25,25.0,medium,2.7679316806280223
0.25,25.0,shallow,11.974222586822714
0.5,50.0,deep,17.257811329941124
0.5,50.0,medium,2.916022385843071
0.5,50.0,shallow,12.216579962366165
0.75,75.0,deep,17.104173700266127
0.75,75.0,medium,3.00974863546667
0.75,75.0,shallow,12.224733201780259
1.0,100.0,deep,16.987356481069234
1.0,100.0,medium,3.074013000200136
1.0,100.0,shallow,12.233799609451058
