checkpoint,checkpoint_pct,depth_bin,mean_log_err
0.1,10.0,deep,28.20170331849494
0.1,10.0,medium,4.247748755036613
0.1,10.0,shallow,19.202218840555762
0.25,25.0,deep,27.52695869906816
0.25,25.0,medium,4.2884072730223615
0.25,25.0,shallow,17.105788549823632
0.5,50.0,deep,27.237947989634222
0.5,50.0,medium,4.318266043446329
0.5,50.0,shallow,16.972425643794743
0.75,75.0,deep,27.067953805350673
0.75,75.0,medium,4.344697579460602
0.75,75.0,shallow,16.89383775118873
1.0,100.0,deep,26.950037583441073
1.0,100.0,medium,4.366433973691152
1.0,100.0,shallow,16.838133577794267
