checkpoint,checkpoint_pct,depth_bin,mean_log_err
0.1,10.0,deep,34.51513038271559
0.1,10.0,medium,3.7052254474105704
0.1,10.0,shallow,21.228963039325922
0.25,25.0,deep,34.52492644962094
0.25,25.0,medium,3.9813828530530646
0.25,25.0,shallow,21.886608279542898
0.5,50.0,deep,34.22835699740918
0.5,50.0,medium,4.004774010551957
0.5,50.0,shallow,21.688389261999617
0.75,75.0,deep,34.05586102434589
0.75,75.0,medium,4.028191823528507
0.75,75.0,shallow,21.57394506392374
1.0,100.0,deep,33.93254572905567
1.0,100.0,medium,4.050318182046458
1.0,100.0,shallow,21.492616699967293
