checkpoint,depth_bin,mean_log_err_bb,mean_log_err_gb,diff,parser
0.1,deep,23.08274318284588,23.08274318284588,0.0,parsere
0.1,medium,4.367122728232007,4.367122728232007,0.0,parsere
0.1,shallow,16.809119851084542,16.809119851084542,0.0,parsere
0.25,deep,22.439280931276,22.439280931276,0.0,parsere
0.25,medium,4.601160727697093,4.601160727697093,0.0,parsere
0.25,shallow,13.795939505967937,13.795939505967937,0.0,parsere
0.5,deep,22.16360381968941,22.163603819689413,3.552713678800501e-15,parsere
0.5,medium,4.794958410530106,4.794958410530105,-8.881784197001252e-16,parsere
0.5,shallow,13.809847717932255,13.809847717932255,0.0,parsere
0.75,deep,22.00240758275495,22.00240758275496,7.105427357601002e-15,parsere
0.75,medium,4.91571511274661,4.91571511274661,0.0,parsere
0.75,shallow,13.81736363941323,13.81736363941323,0.0,parsere
1.0,deep,21.889882821909765,21.889882821909765,0.0,parsere
1.0,medium,5.003549077391647,5.003549077391647,0.0,parsere
1.0,shallow,13.822798337220364,13.822798337220364,0.0,parsere
