checkpoint,depth_bin,mean_log_err_bb,mean_log_err_gb,diff,parser
0.1,deep,30.07070339359753,30.07070339359753,0.0,parserf
0.1,medium,3.925843834871253,3.925843834871253,0.0,parserf
0.1,shallow,18.11089287631964,18.11089287631964,0.0,parserf
0.25,deep,30.163373479808737,30.163373479808737,0.0,parserf
0.25,medium,4.540713194090292,4.540713194090292,0.0,parserf
0.25,shallow,18.358151562156685,18.358151562156685,0.0,parserf
0.5,deep,29.869068403082988,29.869068403082988,0.0,parserf
0.5,medium,4.758347565570581,4.758347565570581,0.0,parserf
0.5,shallow,18.16083463899075,18.16083463899075,0.0,parserf
0.75,deep,29.69810145049754,29.698101450497543,3.552713678800501e-15,parserf
0.75,medium,4.887651438153898,4.887651438153896,-1.7763568394002505e-15,parserf
0.75,shallow,18.04718944123393,18.047189441233925,-3.552713678800501e-15,parserf
1.0,deep,29.57615796083051,29.576157960830507,-3.552713678800501e-15,parserf
1.0,medium,4.976717593357491,4.976717593357491,0.0,parserf
1.0,shallow,17.967871880827037,17.967871880827033,-3.552713678800501e-15,parserf
