source_parser,parser,mrd,checkpoint,n_runs,log_err_shallow,zc_rate_shallow,n_blocks_shallow,log_err_medium,zc_rate_medium,n_blocks_medium,log_err_deep,zc_rate_deep,n_blocks_deep,gotu_est_mean,rho_mean
parsera_b,parsera,35.82,0.1,20,3.825192442435307,1.0,1329,3.4539871235061375,0.4403764740083943,165111,4.3057758045781265,0.0349212034383954,111680,7.058084137218868e-08,0.8898905744839594
parsera_b,parsera,35.82,0.25,20,4.193647533498359,1.0,1228,3.7414879042400537,0.4324812362573243,162814,4.332965852963721,0.0349212034383954,111680,1.3349597592758468e-08,0.8824359612036808
parsera_b,parsera,35.82,0.5,20,4.48206904584989,1.0,1133,3.9280293222896754,0.4226858881827668,160029,4.329176524762,0.0349212034383954,111680,2.4818295948500047e-09,0.8734829644367071
parsera_b,parsera,35.82,0.75,20,4.655279030027254,1.0,1065,4.040783787937952,0.4169781066134693,158404,4.337699731652382,0.0349215161310541,111679,3.3091060990912155e-09,0.8682168614772443
parsera_b,parsera,35.82,1.0,20,4.785195869817838,1.0,1026,4.104405648885612,0.410593363670596,156683,4.3243729179132915,0.0349215161310541,111679,1.7656418195461162e-09,0.8627424769957722
parsera_b,parserb,35.82,0.1,20,3.82863494437507,1.0,1375,3.4597469550336517,0.4441536878959051,166233,4.367644005934423,0.0349212034383954,111680,1.2398681803384629e-06,0.8935215120616762
parsera_b,parserb,35.82,0.25,20,4.203905007145136,1.0,1249,3.7573622802663817,0.4373397640840138,164211,4.399641384908782,0.0349212034383954,111680,4.133418235353842e-07,0.8868440686396418
parsera_b,parserb,35.82,0.5,20,4.501237412641063,1.0,1166,3.9624378986559936,0.4291487967964009,161818,4.410501913017751,0.0349212034383954,111680,2.800466129365609e-07,0.8791469783635911
parsera_b,parserb,35.82,0.75,20,4.672654866615149,1.0,1111,4.0749087749818305,0.4233125386387905,160137,4.411643676140867,0.0349212034383954,111680,1.6175207273435898e-07,0.8737503108679434
parsera_b,parserb,35.82,1.0,20,4.80532057115669,1.0,1053,4.147689687514331,0.4183184848217549,158714,4.407821791414017,0.0349215161310541,111679,1.1596855092034145e-07,0.8691432479482714
