checkpoint,checkpoint_pct,depth_bin,mean_log_err
0.1,10.0,deep,19.58936079880725
0.1,10.0,medium,3.5593371680123074
0.1,10.0,shallow,17.165506655817936
0.25,25.0,deep,19.273115769294176
0.25,25.0,medium,3.8071268602896073
0.25,25.0,shallow,17.37394912170317
0.5,50.0,deep,19.030966093132538
0.5,50.0,medium,3.997731653168047
0.5,50.0,shallow,17.53429068598392
0.75,75.0,deep,18.88841866822517
0.75,75.0,medium,4.111723286913707
0.75,75.0,shallow,17.645424247847572
1.0,100.0,deep,18.78654810428448
1.0,100.0,medium,4.195880362112041
1.0,100.0,shallow,17.69908857931897
