parser,mrd,checkpoint,checkpoint_pct,gotu_mean,rho_mean,log_err_gotu
parsera,35.82,0.1,10.0,2.2126760975272262e-05,0.9216985824421785,4.619671075147047
parsera,35.82,0.25,25.0,8.511173378697375e-06,0.9166811738373539,5.032228874707329
parsera,35.82,0.5,50.0,3.944574925660149e-06,0.91316836607809,5.364550648547474
parsera,35.82,0.75,75.0,2.558176373091671e-06,0.9113404625714996,5.551750169382519
parsera,35.82,1.0,100.0,2.0181065915930138e-06,0.9097736881372793,5.6539892713937725
parserb,35.82,0.1,10.0,2.1395830597977585e-05,0.9229731410096991,4.634859912319129
parserb,35.82,0.25,25.0,8.875346486457815e-06,0.9176013429495151,5.014468723933805
parserb,35.82,0.5,50.0,4.12617836802976e-06,0.9139455359363342,5.345372318030747
parserb,35.82,0.75,75.0,2.6787153739163753e-06,0.9118440686396418,5.531994007219808
parserb,35.82,1.0,100.0,1.9928751859913548e-06,0.9104265108182045,5.6597647958705215
parserc,24.81,0.1,10.0,4.142837711741325e-05,0.8291110263258299,4.3013147699325
parserc,24.81,0.25,25.0,1.899632114459673e-05,0.8129006104540253,4.6313679467002355
parserc,24.81,0.5,50.0,8.756528151990364e-06,0.8018313620755437,4.961751090574907
parserc,24.81,0.75,75.0,5.361964605389104e-06,0.7955599008012209,5.171348942079944
parserc,24.81,1.0,100.0,3.7236792409431556e-06,0.7912962609690958,5.327366849966236
parserd,38.64,0.1,10.0,5.461439799042065e-05,0.8608572721103822,4.197624001703007
parserd,38.64,0.25,25.0,2.528560859939388e-05,0.8489990952273242,4.526033816289835
parserd,38.64,0.5,50.0,1.4837874974341247e-05,0.8378817009726307,4.7518109983483185
parserd,38.64,0.75,75.0,1.0299366025445577e-05,0.8311920380004525,4.906890881802195
parserd,38.64,1.0,100.0,7.944530148837748e-06,0.8260517982356934,5.016939063465097
parsere,53.75,0.1,10.0,7.393653465137442e-05,0.8698883225903163,4.070604409234054
parsere,53.75,0.25,25.0,3.7722357459764895e-05,0.8587055913656123,4.357245464608982
parsere,53.75,0.5,50.0,2.0795904426012564e-05,0.8496271173737071,4.611250552414129
parsere,53.75,0.75,75.0,1.4817976090780997e-05,0.8434061609953531,4.755247879466342
parsere,53.75,1.0,100.0,1.1876429962187364e-05,0.8384350172387947,4.848783496363433
parserf,75.93,0.1,10.0,2.458123858028146e-05,0.7974213836477987,4.511084115527703
parserf,75.93,0.25,25.0,1.2328653531552291e-05,0.7870911949685535,4.805109406152376
parserf,75.93,0.5,50.0,6.922583323473802e-06,0.7783752620545072,5.050920833120762
parserf,75.93,0.75,75.0,5.221115299226784e-06,0.7722746331236897,5.170008485864946
parserf,75.93,1.0,100.0,3.9160941217217795e-06,0.7678878406708596,5.292444669342241
