checkpoint,checkpoint_pct,depth_bin,mean_log_err
0.1,10.0,deep,4.808951604043032
0.1,10.0,medium,3.689365022497611
0.1,10.0,shallow,3.7409178854750724
0.25,25.0,deep,4.850961671074003
0.25,25.0,medium,4.024056613890845
0.25,25.0,shallow,4.092348926565752
0.5,50.0,deep,4.891900824303039
0.5,50.0,medium,4.267574414625423
0.5,50.0,shallow,4.379201025560155
0.75,75.0,deep,4.918622186334373
0.75,75.0,medium,4.4096567297099565
0.75,75.0,shallow,4.557990890322993
1.0,100.0,deep,4.942805932303627
1.0,100.0,medium,4.514936557358918
1.0,100.0,shallow,4.673467373467446
