checkpoint,checkpoint_pct,depth_bin,mean_log_err
0.1,10.0,deep,4.833179408869317
0.1,10.0,medium,3.7206922404516245
0.1,10.0,shallow,3.7824260679982515
0.25,25.0,deep,4.87533997762813
0.25,25.0,medium,4.056777248847511
0.25,25.0,shallow,4.143523882174848
0.5,50.0,deep,4.913206352794234
0.5,50.0,medium,4.303756684709824
0.5,50.0,shallow,4.434306736033309
0.75,75.0,deep,4.938481237991302
0.75,75.0,medium,4.446593261889096
0.75,75.0,shallow,4.607407729905249
1.0,100.0,deep,4.958231711464911
1.0,100.0,medium,4.548582148007803
1.0,100.0,shallow,4.719427708089088
