checkpoint,checkpoint_pct,depth_bin,mean_log_err
0.1,10.0,deep,18.459208172091085
0.1,10.0,medium,2.551024319585291
0.1,10.0,shallow,15.711185733490549
0.25,25.0,deep,18.07009778787971
0.25,25.0,medium,2.6441939183289254
0.25,25.0,shallow,15.721242132995464
0.5,50.0,deep,17.7816955133244
0.5,50.0,medium,2.7493008186764314
0.5,50.0,shallow,15.67148982317615
0.75,75.0,deep,17.61403039532013
0.75,75.0,medium,2.819600099939871
0.75,75.0,shallow,15.591275760118256
1.0,100.0,deep,17.497104545908652
1.0,100.0,medium,2.876403690677314
1.0,100.0,shallow,15.569379312580091
