checkpoint,checkpoint_pct,depth_bin,mean_log_err
0.1,10.0,deep,28.90128955512366
0.1,10.0,medium,4.2835275366760674
0.1,10.0,shallow,20.30074305998753
0.25,25.0,deep,28.53872093320805
0.25,25.0,medium,4.296654088146058
0.25,25.0,shallow,20.112088597709064
0.5,50.0,deep,28.261993134907176
0.5,50.0,medium,4.330025194114605
0.5,50.0,shallow,20.152291163298344
0.75,75.0,deep,28.095834374756592
0.75,75.0,medium,4.365154554662371
0.75,75.0,shallow,20.12311367199854
1.0,100.0,deep,27.980930376343323
1.0,100.0,medium,4.391848507728945
1.0,100.0,shallow,20.088742680842913
