checkpoint,checkpoint_pct,depth_bin,mean_log_err
0.1,10.0,deep,35.915341589065456
0.1,10.0,medium,3.786628197624843
0.1,10.0,shallow,23.47021856876958
0.25,25.0,deep,35.53139408177711
0.25,25.0,medium,3.798214417813983
0.25,25.0,shallow,23.30881630021278
0.5,50.0,deep,35.24351614597204
0.5,50.0,medium,3.8155776743713803
0.5,50.0,shallow,23.146096638987537
0.75,75.0,deep,35.136941486082016
0.75,75.0,medium,3.8249521353475897
0.75,75.0,shallow,23.127044558107325
1.0,100.0,deep,35.0502375445446
1.0,100.0,medium,3.8420290321851445
1.0,100.0,shallow,23.092553167511678
