source_parser,parser,mrd,checkpoint,n_runs,log_err_shallow,zc_rate_shallow,n_blocks_shallow,log_err_medium,zc_rate_medium,n_blocks_medium,log_err_deep,zc_rate_deep,n_blocks_deep,gotu_est_mean,rho_mean
parsera_b,parsera,35.82,0.1,20,3.740917885475072,1.0,2199,3.689365022497611,0.4704051629765064,174473,4.808951604043032,0.0349212034383954,111680,2.2126760975272265e-05,0.9216985824421784
parsera_b,parsera,35.82,0.25,20,4.092348926565752,1.0,2004,4.024056613890846,0.4660626162931802,173054,4.850961671074002,0.0349212034383954,111680,8.511173378697375e-06,0.916681173837354
parsera_b,parsera,35.82,0.5,20,4.379201025560155,1.0,1859,4.267574414625423,0.4630061196380521,172069,4.89190082430304,0.0349212034383954,111680,3.944574925660149e-06,0.91316836607809
parsera_b,parsera,35.82,0.75,20,4.557990890322993,1.0,1776,4.4096567297099565,0.4614254738756382,171564,4.918622186334373,0.0349212034383954,111680,2.558176373091671e-06,0.9113404625715
parsera_b,parsera,35.82,1.0,20,4.673467373467446,1.0,1730,4.514936557358918,0.4599838696480544,171106,4.942805932303627,0.0349212034383954,111680,2.0181065915930138e-06,0.9097736881372792
parsera_b,parserb,35.82,0.1,20,3.782426067998251,1.0,2242,3.720692240451624,0.4715168153740562,174840,4.833179408869317,0.0349212034383954,111680,2.139583059797758e-05,0.9229731410096992
parsera_b,parserb,35.82,0.25,20,4.143523882174848,1.0,2043,4.056777248847511,0.4668543831609072,173311,4.87533997762813,0.0349212034383954,111680,8.875346486457815e-06,0.9176013429495152
parsera_b,parserb,35.82,0.5,20,4.434306736033309,1.0,1890,4.303756684709824,0.4636887072808321,172288,4.913206352794234,0.0349212034383954,111680,4.12617836802976e-06,0.9139455359363342
parsera_b,parserb,35.82,0.75,20,4.607407729905249,1.0,1798,4.446593261889096,0.4618646042025812,171704,4.938481237991302,0.0349212034383954,111680,2.678715373916376e-06,0.911844068639642
parsera_b,parserb,35.82,1.0,20,4.719427708089088,1.0,1739,4.548582148007803,0.460617487901837,171307,4.9582317114649115,0.0349212034383954,111680,1.9928751859913548e-06,0.9104265108182044
parserc_d,parserc,24.81,0.1,20,12.983484826772186,0.2809307604994324,1702,2.4368973061629577,0.3811618313999863,43879,10.839411143670636,0.0084309034766938,94889,4.142837711741325e-05,0.8291110263258297
parserc_d,parserc,24.81,0.25,20,12.953249120206376,0.2706766917293233,1669,2.4093731955993154,0.3862945955492758,42465,10.399617318110211,0.0085744908896034,93300,1.899632114459673e-05,0.8129006104540253
parserc_d,parserc,24.81,0.5,20,12.914573246861488,0.2614302461899179,1646,2.420045218041671,0.390155427967425,41627,10.083189004359683,0.0086917786638563,92041,8.756528151990362e-06,0.8018313620755437
parserc_d,parserc,24.81,0.75,20,12.843900234466863,0.2592592592592592,1641,2.435862872050109,0.3915788451265116,41182,9.899328526957335,0.0087635698401743,91287,5.361964605389103e-06,0.7955599008012209
parserc_d,parserc,24.81,1.0,20,12.81914444135798,0.2553191489361702,1632,2.4528678897864205,0.392817855134818,40907,9.775329414611464,0.0087936791298885,90747,3.723679240943157e-06,0.7912962609690957
parserc_d,parserd,38.64,0.1,20,15.711185733490549,0.3408577878103837,1269,2.5510243195852915,0.4312412201485049,39864,18.45920817209108,0.0059223013480517,206001,5.4614397990420665e-05,0.8608572721103822
parserc_d,parserd,38.64,0.25,20,15.72124213299546,0.3323029366306028,1234,2.644193918328926,0.4326281487611855,38666,18.07009778787971,0.0059914940428833,203622,2.528560859939388e-05,0.8489990952273242
parserc_d,parserd,38.64,0.5,20,15.67148982317615,0.3275178429817605,1201,2.7493008186764314,0.4340952280405405,37888,17.7816955133244,0.0060687761467251,201029,1.4837874974341248e-05,0.8378817009726307
parserc_d,parserd,38.64,0.75,20,15.591275760118256,0.3295819935691318,1184,2.819600099939871,0.4355994989739626,37523,17.61403039532013,0.0061211485683034,199309,1.0299366025445577e-05,0.8311920380004525
parserc_d,parserd,38.64,1.0,20,15.569379312580091,0.3300733496332518,1167,2.876403690677314,0.4358644013205572,37257,17.497104545908652,0.0061631102489492,197952,7.944530148837748e-06,0.8260517982356932
parsere_f,parsere,53.75,0.1,20,20.30074305998753,0.2094907407407407,2532,4.2835275366760674,0.3763300016121231,49624,28.90128955512366,0.0044946033974276,324834,7.393653465137443e-05,0.8698883225903163
parsere_f,parsere,53.75,0.25,20,20.112088597709064,0.2141138732959102,2434,4.296654088146058,0.3784803565875401,48235,28.53872093320805,0.0045458083599283,321175,3.7722357459764895e-05,0.8587055913656123
parsere_f,parsere,53.75,0.5,20,20.152291163298344,0.2220828105395232,2331,4.330025194114604,0.3793168800539083,47488,28.261993134907176,0.0045936362406436,317831,2.0795904426012564e-05,0.8496271173737071
parsere_f,parsere,53.75,0.75,20,20.12311367199854,0.2257926306769494,2274,4.365154554662372,0.3790466479734897,47076,28.095834374756585,0.0046283381096091,315448,1.4817976090780995e-05,0.8434061609953531
parsere_f,parsere,53.75,1.0,20,20.088742680842913,0.2309722833260009,2213,4.391848507728945,0.378568376068376,46800,27.98093037634333,0.0046571418546269,313497,1.1876429962187364e-05,0.8384350172387947
parsere_f,parserf,75.93,0.1,20,23.47021856876958,0.1742549668874172,9604,3.786628197624843,0.34963452836756,11492,35.915341589065456,0.0,81888,2.458123858028146e-05,0.7974213836477989
parsere_f,parserf,75.93,0.25,20,23.308816300212783,0.1699257555160514,9503,3.798214417813983,0.3465749705908967,11051,35.53139408177711,0.0,80918,1.2328653531552291e-05,0.7870911949685536
parsere_f,parserf,75.93,0.5,20,23.146096638987537,0.1670176916596461,9436,3.81557767437138,0.3455322310979008,10766,35.24351614597204,0.0,79970,6.922583323473802e-06,0.7783752620545074
parsere_f,parserf,75.93,0.75,20,23.127044558107325,0.1645811240721102,9370,3.8249521353475897,0.3447951012717852,10615,35.136941486082016,0.0,79281,5.221115299226784e-06,0.7722746331236896
parsere_f,parserf,75.93,1.0,20,23.09255316751168,0.1637526652452025,9320,3.842029032185144,0.343788613249691,10521,35.0502375445446,0.0,78764,3.9160941217217795e-06,0.7678878406708596
