checkpoint,checkpoint_pct,depth_bin,mean_log_err
0.1,10.0,deep,8.753507346277765
0.1,10.0,medium,3.389804832963432
0.1,10.0,shallow,9.698715515042288
0.25,25.0,deep,8.501793492615807
0.25,25.0,medium,3.6631674241203944
0.25,25.0,shallow,9.925164674655369
0.5,50.0,deep,8.412631235896875
0.5,50.0,medium,3.8457830371483546
0.5,50.0,shallow,10.255426277769326
0.75,75.0,deep,8.362119332874222
0.75,75.0,medium,3.951270847842195
0.75,75.0,shallow,10.464862139667591
1.0,100.0,deep,8.319096885312721
1.0,100.0,medium,4.015437604778126
1.0,100.0,shallow,10.63320963788373
