checkpoint,depth_bin,mean_log_err_bb,mean_log_err_gb,diff,parser
0.1,deep,6.70272182297729,6.702624858173763,-9.696480352694437e-05,parserc
0.1,medium,3.03137311930662,3.0313851939124308,1.2074605810763472e-05,parserc
0.1,shallow,9.93017131866634,9.930692995002914,0.0005216763365751831,parserc
0.25,deep,6.349001926402549,6.348924214305921,-7.771209662799095e-05,parserc
0.25,medium,3.311730338087479,3.3117378750883386,7.537000859425547e-06,parserc
0.25,shallow,9.79103426128992,9.791354222287756,0.00031996099783704324,parserc
0.5,deep,6.093721262775963,6.093659731016725,-6.153175923806486e-05,parserc
0.5,medium,3.54172226135333,3.541703163772516,-1.9097580814086967e-05,parserc
0.5,shallow,9.680343345817716,9.680410533356998,6.718753928147692e-05,parserc
0.75,deep,5.948075170952827,5.948038085415651,-3.70855371762957e-05,parserc
0.75,medium,3.682523237275648,3.6825054106065616,-1.782666908622943e-05,parserc
0.75,shallow,9.588874547831672,9.58893217626966,5.762843798784445e-05,parserc
1.0,deep,5.846670651555777,5.846625827035481,-4.482452029552775e-05,parserc
1.0,medium,3.7864772793165447,3.786464959831557,-1.2319484987699525e-05,parserc
1.0,shallow,9.530862657803413,9.530919926105787,5.7268302374069435e-05,parserc
