parser,mrd,checkpoint,checkpoint_pct,gotu_mean,rho_mean,log_err_gotu
parsera,35.82,0.1,10.0,7.058084137218868e-08,0.8898905744839594,7.1006497757038884
parsera,35.82,0.25,25.0,1.334959759275847e-08,0.8824359612036806,7.820215023623274
parsera,35.82,0.5,50.0,2.4818295948500047e-09,0.8734829644367073,8.546482480294296
parsera,35.82,0.75,75.0,3.3091060990912155e-09,0.8682168614772443,8.418917523871466
parsera,35.82,1.0,100.0,1.7656418195461169e-09,0.8627424769957722,8.688978574368774
parserb,35.82,0.1,10.0,1.2398681803384629e-06,0.8935215120616762,5.857729498344112
parserb,35.82,0.25,25.0,4.1334182353538413e-07,0.8868440686396418,6.33153791462442
parserb,35.82,0.5,50.0,2.800466129365609e-07,0.8791469783635911,6.49683116336528
parserb,35.82,0.75,75.0,1.6175207273435896e-07,0.8737503108679434,6.732537488727429
parserb,35.82,1.0,100.0,1.1596855092034145e-07,0.8691432479482714,6.874751130155355
parserc,24.81,0.1,10.0,7.866109832121016e-08,0.7284353936156683,6.966631033333355
parserc,24.81,0.25,25.0,1.497588031246747e-08,0.7232210988172453,7.6838787269802795
parserc,24.81,0.5,50.0,4.209554661951292e-09,0.7200416507694264,8.233121465601023
parserc,24.81,0.75,75.0,2.8063697746341947e-09,0.7178955233371487,8.407916350920559
parserc,24.81,1.0,100.0,2.104777330975646e-09,0.7166555385984993,8.532104303986822
parserd,38.64,0.1,10.0,1.0088982838960205e-06,0.7586236145668401,5.876178974057003
parserd,38.64,0.25,25.0,1.0200971995200242e-07,0.7287378421171681,6.853929766989192
parserd,38.64,0.5,50.0,2.438253485855192e-08,0.7241857045917213,7.4727710938245835
parserd,38.64,0.75,75.0,1.6255023106921723e-08,0.7219803211942999,7.647537769100693
parserd,38.64,1.0,100.0,0.0,0.7219237729020583,
parsere,53.75,0.1,10.0,4.453749736355545e-06,0.803608904212262,5.2563189305571045
parsere,53.75,0.25,25.0,1.6355644873177222e-06,0.7673324838854745,5.671315911568214
parsere,53.75,0.5,50.0,4.4055680439772355e-07,0.7673324838854745,6.240981670497809
parsere,53.75,0.75,75.0,2.0696961252797038e-07,0.7673324838854745,6.569076997188806
parsere,53.75,1.0,100.0,9.32743210258157e-08,0.7673324838854745,6.915221487450987
parserf,75.93,0.1,10.0,1.5772322063242193e-06,0.7157756813417191,5.656881302464211
parserf,75.93,0.25,25.0,3.0544739728567357e-07,0.680398322851153,6.347826805562326
parserf,75.93,0.5,50.0,2.034034192358858e-08,0.680398322851153,7.524404985236584
parserf,75.93,0.75,75.0,0.0,0.680398322851153,
parserf,75.93,1.0,100.0,0.0,0.680398322851153,
