checkpoint,checkpoint_pct,depth_bin,mean_log_err
0.1,10.0,deep,4.367644005934423
0.1,10.0,medium,3.4597469550336517
0.1,10.0,shallow,3.8286349443750693
0.25,25.0,deep,4.399641384908782
0.25,25.0,medium,3.7573622802663826
0.25,25.0,shallow,4.203905007145136
0.5,50.0,deep,4.410501913017751
0.5,50.0,medium,3.9624378986559936
0.5,50.0,shallow,4.501237412641063
0.75,75.0,deep,4.411643676140867
0.75,75.0,medium,4.0749087749818305
0.75,75.0,shallow,4.672654866615149
1.0,100.0,deep,4.407821791414018
1.0,100.0,medium,4.1476896875143305
1.0,100.0,shallow,4.80532057115669
