checkpoint,checkpoint_pct,depth_bin,mean_log_err
0.1,10.0,deep,10.458652730120306
0.1,10.0,medium,2.3857527109070773
0.1,10.0,shallow,13.09497168718562
0.25,25.0,deep,10.065351229042703
0.25,25.0,medium,2.4299442918542935
0.25,25.0,shallow,13.021689786356035
0.5,50.0,deep,9.775250636931757
0.5,50.0,medium,2.4783575456964906
0.5,50.0,shallow,12.971775167863383
0.75,75.0,deep,9.602459122914938
0.75,75.0,medium,2.5170991002037884
0.75,75.0,shallow,12.86977376181586
1.0,100.0,deep,9.480511367371358
1.0,100.0,medium,2.547415617326413
1.0,100.0,shallow,12.79745795183836
