source_parser,parser,run,mrd,checkpoint,n_t,n_frontier,gotu_est,rho,blocks_seen,log_err_shallow,zc_rate_shallow,n_blocks_shallow,log_err_medium,zc_rate_medium,n_blocks_medium,log_err_deep,zc_rate_deep,n_blocks_deep
parsera_b,parsera,parsera_run_1,35.82,0.1,9419365,197,0.0,0.8862845063417061,1829,5.772539784956216,1.0,74,5.763196547847277,0.76760649334798,8193,5.286790714054257,0.1130014326647564,5584
parsera_b,parsera,parsera_run_1,35.82,0.25,23548413,197,0.0,0.8780775926386472,1961,6.1310312429507094,1.0,65,6.034354959297603,0.7640644361833953,8070,5.420320609543425,0.1130014326647564,5584
parsera_b,parsera,parsera_run_1,35.82,0.5,47096827,197,0.0,0.8640263616015916,2187,6.414847691560844,1.0,56,6.177896326938009,0.757544887304215,7853,5.537899473001493,0.1130014326647564,5584
parsera_b,parsera,parsera_run_1,35.82,0.75,70645240,197,0.0,0.859674210395424,2257,6.591168306951952,1.0,53,6.295977000483747,0.7554585152838428,7786,5.6271353862255085,0.1130014326647564,5584
parsera_b,parsera,parsera_run_1,35.82,1.0,94193654,197,0.0,0.8525864212882368,2371,6.712951616454036,1.0,53,6.350946990870599,0.7518248175182481,7672,5.684280416878842,0.1130014326647564,5584
parsera_b,parsera,parsera_run_10,35.82,0.1,8058571,197,2.481829594850005e-07,0.8887714498880875,1789,5.708492424337979,1.0,77,5.728667682153077,0.7686512758201701,8230,5.265703104155104,0.1130014326647564,5584
parsera_b,parsera,parsera_run_10,35.82,0.25,20146427,197,9.927318625779153e-08,0.8806888833623476,1919,6.03951405387307,1.0,66,6.010366949705183,0.7652570583158673,8111,5.4008507747491175,0.1130014326647564,5584
parsera_b,parsera,parsera_run_10,35.82,0.5,40292855,197,4.9636591897000104e-08,0.8717358865953743,2063,6.297373605577313,1.0,59,6.208059295278205,0.7612239779282669,7974,5.503252293835085,0.1130014326647564,5584
parsera_b,parsera,parsera_run_10,35.82,0.75,60439283,197,6.618212198182431e-08,0.8663889579706541,2149,6.4666919537766265,1.0,58,6.320536627848958,0.7586512866015972,7889,5.5851129504743655,0.1130014326647564,5584
parsera_b,parsera,parsera_run_10,35.82,1.0,80585711,197,2.4818295640526148e-08,0.8617881124098483,2223,6.587916592163194,1.0,58,6.3972533785804595,0.7563659628918746,7815,5.63506713587426,0.1130014326647564,5584
parsera_b,parsera,parsera_run_11,35.82,0.1,9116065,197,0.0,0.8885227555334494,1793,5.770190850846571,1.0,74,5.765166899747383,0.7686231619880909,8229,5.29004322314255,0.1130014326647564,5584
parsera_b,parsera,parsera_run_11,35.82,0.25,22790164,197,0.0,0.8842949515046008,1861,6.129930275689543,1.0,72,6.098684690333269,0.7667524194536323,8163,5.419327949858162,0.1130014326647564,5584
parsera_b,parsera,parsera_run_11,35.82,0.5,45580328,197,0.0,0.8768341208654563,1981,6.354578005039064,1.0,61,6.302047056947116,0.7635957288303948,8054,5.544716852564797,0.1130014326647564,5584
parsera_b,parsera,parsera_run_11,35.82,0.75,68370492,197,0.0,0.8717358865953743,2063,6.538863308406376,1.0,57,6.419347170842428,0.7612838515546639,7976,5.619901007719847,0.1130014326647564,5584
parsera_b,parsera,parsera_run_11,35.82,1.0,91160657,197,0.0,0.8671350410345685,2137,6.660180043548692,1.0,57,6.499618787147613,0.7590483421918501,7902,5.672767728354206,0.1130014326647564,5584
parsera_b,parsera,parsera_run_12,35.82,0.1,9619719,197,0.0,0.8916314349664263,1743,5.742584353128462,1.0,70,5.821516972860252,0.77013159483279,8283,5.296378725491582,0.1130014326647564,5584
parsera_b,parsera,parsera_run_12,35.82,0.25,24049297,197,0.0,0.8828027853767719,1885,6.100367529448929,1.0,62,6.112821544848806,0.7663516995950423,8149,5.420923133947433,0.1130014326647564,5584
parsera_b,parsera,parsera_run_12,35.82,0.5,48098595,197,0.0,0.8747202188510321,2015,6.400920254614352,1.0,54,6.3071954730204105,0.7628005481499938,8027,5.557402013829442,0.1130014326647564,5584
parsera_b,parsera,parsera_run_12,35.82,0.75,72147893,197,0.0,0.8687515543397165,2111,6.54504694529337,1.0,52,6.424473257967789,0.7600201663725737,7934,5.62558368426288,0.1128425577646426,5583
parsera_b,parsera,parsera_run_12,35.82,1.0,96197191,197,0.0,0.8641507087789108,2185,6.664088391638918,1.0,52,6.508022653727182,0.7577608142493639,7860,5.669528289435392,0.1128425577646426,5583
parsera_b,parsera,parsera_run_13,35.82,0.1,9527230,197,0.0,0.8870305894056205,1817,5.7731225762204295,1.0,60,5.772571718149096,0.7683416474023604,8219,5.284024073028414,0.1130014326647564,5584
parsera_b,parsera,parsera_run_13,35.82,0.25,23818076,197,0.0,0.8798184531211142,1933,6.143972732598795,1.0,58,6.0696844920755515,0.7650832819247378,8105,5.422552211220945,0.1130014326647564,5584
parsera_b,parsera,parsera_run_13,35.82,0.5,47636153,197,0.0,0.8661402636160159,2153,6.410017515670487,1.0,49,6.2116794325637805,0.7588041550544717,7894,5.520080653826865,0.1130014326647564,5584
parsera_b,parsera,parsera_run_13,35.82,0.75,71454230,197,0.0,0.8585550857995523,2275,6.5851603384886195,1.0,44,6.314492921783108,0.7551755175517552,7777,5.585369873965279,0.1130014326647564,5584
parsera_b,parsera,parsera_run_13,35.82,1.0,95272307,197,0.0,0.8510942551604078,2395,6.708153092688858,1.0,43,6.354745407874804,0.7513711151736746,7658,5.657146346288552,0.1130014326647564,5584
parsera_b,parsera,parsera_run_14,35.82,0.1,9528763,197,0.0,0.891258393434469,1749,5.778102879263354,1.0,77,5.816092377641075,0.769770253929867,8270,5.299254169091962,0.1130014326647564,5584
parsera_b,parsera,parsera_run_14,35.82,0.25,23821909,197,8.39563277653357e-08,0.884543645859239,1857,6.13099319514338,1.0,71,6.1178989707360225,0.7668952007835456,8168,5.434445202641231,0.1130014326647564,5584
